# BUSCO version is: 5.7.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2023-08-03, number of genomes: 67, number of BUSCOs: 15)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
65834at7742	Fragmented	OV277441.1	4354837	4399255	+	707.5	370	https://www.orthodb.org/v10?query=65834at7742	collagen alpha-1(XXII) chain
66052at7742	Complete	OV277441.1	7705091	7856150	+	1632.4	905	https://www.orthodb.org/v10?query=66052at7742	zinc finger protein ZFAT
120131at7742	Complete	OV277441.1	716092	713095	-	789.6	493	https://www.orthodb.org/v10?query=120131at7742	glycosylphosphatidylinositol anchor attachment 1 protein
152085at7742	Complete	OV277441.1	1077036	1154532	+	434.1	532	https://www.orthodb.org/v10?query=152085at7742	zinc finger CCCH domain-containing protein 3
192462at7742	Missing
207993at7742	Missing
229692at7742	Complete	OV277441.1	3741637	3816166	+	589.9	300	https://www.orthodb.org/v10?query=229692at7742	potassium channel subfamily K member 9
279227at7742	Missing
294443at7742	Complete	OV277441.1	432282	436180	+	611.7	281	https://www.orthodb.org/v10?query=294443at7742	cysteine and histidine-rich protein 1
328272at7742	Complete	OV277441.1	719798	717718	-	216.7	139	https://www.orthodb.org/v10?query=328272at7742	exosome complex component RRP41
385925at7742	Missing
401745at7742	Missing
402344at7742	Complete	OV277441.1	44763	43211	-	203.4	164	https://www.orthodb.org/v10?query=402344at7742	Chromosome 8 open reading frame 33
416929at7742	Missing
418675at7742	Complete	OV277441.1	3182044	3179523	-	156.5	93	https://www.orthodb.org/v10?query=418675at7742	chromatin accessibility complex protein 1
