#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OV277441.1:4173305-4174123|- -            273 14889at2157          -            529     0.075   10.5   4.0   1   1   0.00023      0.14    9.6   4.0    64   117    32    84     5    96 0.79 OV277441.1_7092 # 4173305 # 4174123 # -1 # ID=1_7092;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.393
OV277441.1:5738563-5739393|- -            277 14889at2157          -            529     0.093   10.2   4.0   1   1   0.00023      0.14    9.6   4.0    59   114    31    85    14    97 0.84 OV277441.1_8324 # 5738563 # 5739393 # -1 # ID=1_8324;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.402
OV277441.1:6753336-6754166|+ -            277 14889at2157          -            529      0.13    9.7   3.4   1   1   0.00032      0.19    9.1   3.4    66   114    38    85    11   109 0.80 OV277441.1_8639 # 6753336 # 6754166 # 1 # ID=1_8639;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
OV277441.1:5635893-5636723|- -            277 14889at2157          -            529      0.16    9.4   3.4   1   1   0.00042      0.25    8.8   3.4    66   114    38    85    13    97 0.79 OV277441.1_8298 # 5635893 # 5636723 # -1 # ID=1_8298;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
OV277441.1:6611445-6612284|+ -            280 14889at2157          -            529      0.16    9.4   3.5   1   1   0.00045      0.27    8.7   3.5    66   114    41    88    16   100 0.79 OV277441.1_8567 # 6611445 # 6612284 # 1 # ID=1_8567;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400
OV277441.1:6940747-6941586|+ -            280 14889at2157          -            529      0.18    9.3   3.5   1   1   0.00045      0.27    8.7   3.5    66   114    41    88    16   100 0.79 OV277441.1_8780 # 6940747 # 6941586 # 1 # ID=1_8780;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.405
OV277441.1:4629869-4630699|+ -            277 14889at2157          -            529      0.18    9.2   3.6   1   1   0.00048      0.29    8.6   3.6    65   114    37    85    12    97 0.79 OV277441.1_7667 # 4629869 # 4630699 # 1 # ID=1_7667;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
OV277441.1:5512546-5513385|+ -            280 14889at2157          -            529      0.18    9.2   3.6   1   1   0.00049       0.3    8.5   3.6    65   114    40    88    15   100 0.79 OV277441.1_8251 # 5512546 # 5513385 # 1 # ID=1_8251;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
OV277441.1:5017194-5018033|+ -            280 14889at2157          -            529      0.19    9.2   3.6   1   1   0.00049       0.3    8.5   3.6    65   114    40    88    15   100 0.79 OV277441.1_8033 # 5017194 # 5018033 # 1 # ID=1_8033;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.402
OV277441.1:4209074-4209913|- -            280 14889at2157          -            529      0.19    9.1   3.6   1   1   0.00049       0.3    8.5   3.6    65   114    40    88    15   100 0.79 OV277441.1_7106 # 4209074 # 4209913 # -1 # ID=1_7106;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
OV277441.1:5921192-5922031|- -            280 14889at2157          -            529      0.19    9.1   3.6   1   1   0.00049       0.3    8.5   3.6    65   114    40    88    15   100 0.79 OV277441.1_8367 # 5921192 # 5922031 # -1 # ID=1_8367;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
OV277441.1:5854263-5855102|- -            280 14889at2157          -            529      0.19    9.1   3.6   1   1   0.00049       0.3    8.5   3.6    65   114    40    88    15   100 0.79 OV277441.1_8345 # 5854263 # 5855102 # -1 # ID=1_8345;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
OV277441.1:5236950-5237789|- -            280 14889at2157          -            529      0.19    9.1   3.6   1   1   0.00049       0.3    8.5   3.6    65   114    40    88    15   100 0.79 OV277441.1_8140 # 5236950 # 5237789 # -1 # ID=1_8140;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.405
OV277441.1:6301304-6302191|- -            296 14889at2157          -            529      0.23    8.9   3.7   1   1   0.00058      0.35    8.3   3.7    66   113    38    84    13    95 0.79 OV277441.1_8465 # 6301304 # 6302191 # -1 # ID=1_8465;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.403
OV277441.1:5996341-5997171|- -            277 14889at2157          -            529      0.29    8.6   3.4   1   1   0.00075      0.45    7.9   3.4    66   114    38    85    12    99 0.79 OV277441.1_8386 # 5996341 # 5997171 # -1 # ID=1_8386;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
OV277441.1:4288533-4289480|- -            316 14889at2157          -            529       0.3    8.5   2.7   1   1   0.00081      0.49    7.8   2.7    68   114    79   124    50   137 0.81 OV277441.1_7164 # 4288533 # 4289480 # -1 # ID=1_7164;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.403
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /var/folders/8l/k3tystcs0wq_kgx6py_rcv640000gq/T/nxf.fxbrRBgyyS/blobtoolkit.GCA_922984935.2.2023-08-03/lineages/archaea_odb10/hmms/14889at2157.hmm
# Target file:     /var/folders/8l/k3tystcs0wq_kgx6py_rcv640000gq/T/nxf.fxbrRBgyyS/GCA_922984935.2-archaea_odb10-busco/GCA_922984935.2.subset.phiXspike.fasta/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /var/folders/8l/k3tystcs0wq_kgx6py_rcv640000gq/T/nxf.fxbrRBgyyS/GCA_922984935.2-archaea_odb10-busco/GCA_922984935.2.subset.phiXspike.fasta/run_archaea_odb10/hmmer_output/14889at2157.out --cpu 1 /var/folders/8l/k3tystcs0wq_kgx6py_rcv640000gq/T/nxf.fxbrRBgyyS/blobtoolkit.GCA_922984935.2.2023-08-03/lineages/archaea_odb10/hmms/14889at2157.hmm /var/folders/8l/k3tystcs0wq_kgx6py_rcv640000gq/T/nxf.fxbrRBgyyS/GCA_922984935.2-archaea_odb10-busco/GCA_922984935.2.subset.phiXspike.fasta/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /var/folders/8l/k3tystcs0wq_kgx6py_rcv640000gq/T/nxf.fxbrRBgyyS
# Date:            Wed Jan 29 16:41:40 2025
# [ok]
