# BUSCO version is: 5.7.1 
# The lineage dataset is: tetrapoda_odb10 (Creation date: 2023-08-03, number of genomes: 38, number of BUSCOs: 15)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
24294at32523	Complete	OV277441.1	2721895	2672715	-	1814.3	1031	https://www.orthodb.org/v10?query=24294at32523	DENN domain-containing protein 3
36670at32523	Missing
39553at32523	Complete	OV277441.1	3115838	3162121	+	1551.4	684	https://www.orthodb.org/v10?query=39553at32523	protein argonaute-2
44355at32523	Complete	OV277441.1	7705091	7856150	+	1992.7	945	https://www.orthodb.org/v10?query=44355at32523	zinc finger protein ZFAT
61999at32523	Missing
69748at32523	Complete	OV277441.1	2632630	2657457	+	1213.5	609	https://www.orthodb.org/v10?query=69748at32523	solute carrier family 45 member 4
103359at32523	Missing
106993at32523	Complete	OV277441.1	1077036	1154532	+	642.3	569	https://www.orthodb.org/v10?query=106993at32523	zinc finger CCCH domain-containing protein 3
116580at32523	Complete	OV277441.1	914044	921828	+	795.3	398	https://www.orthodb.org/v10?query=116580at32523	Poly(U) binding splicing factor 60
155190at32523	Complete	OV277441.1	987904	971996	-	604.7	391	https://www.orthodb.org/v10?query=155190at32523	Mitogen-activated protein kinase
189423at32523	Complete	OV277441.1	2554652	2555719	+	489.1	269	https://www.orthodb.org/v10?query=189423at32523	G-protein coupled receptor 20
201024at32523	Complete	OV277441.1	1629956	1631143	+	620.0	311	https://www.orthodb.org/v10?query=201024at32523	activity-regulated cytoskeleton-associated protein
209973at32523	Missing
270448at32523	Missing
278518at32523	Fragmented	OV277441.1	1051718	1052344	+	195.8	130	https://www.orthodb.org/v10?query=278518at32523	elongation factor 1-beta
